순위 (ranking),단어 (word),품사 (Part of speech),풀이 (Explanation),등급 (Rating),suffix number,단어 (word) (cleaned),english translation
52,그리고,부,,A,리고,그리고,and
53,문제06,명,問題,A,06,문제,problem
54,그런01,관,,B,01,그런,that
55,살다01,동,,A,01,살다,live
56,저03,대,일인칭 대명사,A,03,저,I
57,못하다,보,,A,하다,못하다,Can not do it
58,생각하다,동,,A,하다,생각하다,Think
59,모르다,동,,A,르다,모르다,don't know
60,속01,명,,A,01,속,inside
61,만들다,동,,A,들다,만들다,make
62,데01,의,,B,01,데,place
63,두01,관,,A,01,두,two
64,앞,명,,A,앞,앞,front
65,경우03,명,境遇,B,03,경우,case
66,중04,의,中,B,04,중,middle
67,어떤,관,,A,어떤,어떤,which
68,잘02,부,,A,02,잘,well
69,그녀,대,-女,C,그녀,그녀,she
70,먹다02,동,밥을 ~,A,02,먹다,eat
71,오다01,보,,A,01,오다,come
72,자신01,명,自身,B,01,자신,Myself
73,문화01,명,文化,B,01,문화,culture
74,원01,의,화폐 단위,A,01,원,one
75,생각01,명,,A,01,생각,thought
76,어떻다,형,,A,떻다,어떻다,how
77,명03,의,名. 한 ~,A,03,명,number of people
78,통하다,동,通-,B,하다,통하다,pass
79,그러다,동,,C,러다,그러다,Then
80,소리01,명,,B,01,소리,sound
81,다시01,부,,A,01,다시,again
82,다른,관,,A,다른,다른,different
83,이런01,관,,A,01,이런,this
84,여자02,명,女子,A,02,여자,female
85,개10,의,個,A,10,개10,10
86,정도11,명,程度,B,11,정도11,Degree 11
87,뒤01,명,,A,01,뒤,back
88,듣다01,동,소리를 ~,A,01,듣다,listen
89,다03,부,,A,03,다,all
90,좀02,부,조금,A,02,좀,a little
91,들다01,동,여관에 ~,A,01,들다,Hold
92,싶다,보,,A,싶다,싶다,want
93,보이다01,동,'보다'의 피동사,B,01,보이다,show
94,가지다,동,,A,지다,가지다,have
95,함께,부,,A,함께,함께,together
96,아이01,명,,A,01,아이,kid
97,지나다,동,,B,나다,지나다,pass by
98,많이,부,,A,많이,많이,many
99,시간04,명,時間,A,04,시간,hour
100,너01,대,,A,01,너,you
101,주다01,동,,A,01,주다,give
102,인간01,명,人間,B,01,인간,human
103,사실04,명,事實,B,04,사실,actually
104,나다01,동,,A,01,나다,grow
105,이렇다,형,,A,렇다,이렇다,It's like this
106,어머니01,명,,A,01,어머니,mother
107,눈01,명,신체의 일부,A,01,눈,eye
108,뭐,대,,A,뭐,뭐,what
109,점10,명,點,B,10,점10,10 points
110,의하다01,동,依-,B,01,의하다,be due to
111,시대02,명,時代,B,02,시대,era
112,다음01,명,,A,01,다음,next
113,이러하다,형,,B,하다,이러하다,It's like this
114,누구,대,,A,누구,누구,who
115,전08,명,前,A,08,전,jeon
116,곳01,명,,A,01,곳,place
117,여러,관,,A,여러,여러,several
118,안01,명,집 ~,A,01,안,not
119,하나,수,,A,하나,하나,one
120,세계02,명,世界,B,02,세계,world
121,버리다01,보,,A,01,버리다,throw away
122,위01,명,~아래,A,01,위,stomach
123,운동02,명,運動,A,02,운동,work out
124,퍼센트,의,percent,A,센트,퍼센트,percent
125,학교,명,學校,A,학교,학교,school
126,자기04,대,自己,B,04,자기,self
127,가장01,부,,A,01,가장,most
128,대통령,명,大統領,B,통령,대통령,president
129,가지04,의,한 ~,B,04,가지,egg plant
130,들다04,동,꽃을 ~,A,04,들다,Hold
131,시작하다01,동,始作-,A,01,시작하다,start
132,바로02,부,,A,02,바로,as soon as
133,어느01,관,,A,01,어느,any
134,그래서,부,,A,래서,그래서,so
135,무엇,대,,A,무엇,무엇,what
136,정부08,명,政府,C,08,정부,government
137,모든,관,,A,모든,모든,every
138,번04,의,番,A,04,번,th
139,그거,대,,A,그거,그거,that
140,돈01,명,,A,01,돈,money
141,국가01,명,國家,B,01,국가,nation
142,그런데,부,,A,런데,그런데,however
143,날01,명,어느 ~,A,01,날,me
144,여기01,대,,A,01,여기,here
145,모두01,부,,A,01,모두,every
146,여성01,명,女性,B,01,여성,female
147,친구02,명,親舊,A,02,친구,friend
148,마음01,명,,A,01,마음,mind
149,후08,명,後,A,08,후,after
150,가다01,보,,A,01,가다,go
151,놓다01,보,,A,01,놓다,put
152,관계05,명,關係,B,05,관계,relationship
153,아버지,명,,A,버지,아버지,father
154,남자02,명,男子,A,02,남자,man
155,어디01,대,,A,01,어디,where
156,몸01,명,,A,01,몸,body
157,얼굴01,명,,A,01,얼굴,face
158,들어가다01,동,,A,01,들어가다,enter
159,왜02,부,,A,02,왜,why
160,나타나다,동,,B,나다,나타나다,appear
161,말다03,보,,A,03,말다,roll
162,지역03,명,地域,B,03,지역,region
163,다르다01,형,,A,01,다르다,different
164,모습01,명,,B,01,모습,figure
165,물01,명,바닷~,A,01,물,water
166,만나다,동,,A,나다,만나다,meet
167,내다02,동,길을 ~,A,02,내다,Pay
168,보이다02,동,'보다'의 사동사,B,02,보이다,show
169,쓰다01,동,글씨를 ~,A,01,쓰다,write
170,이것,대,,A,이것,이것,this
171,없이,부,,B,없이,없이,without
172,이번01,명,-番,A,01,이번,this time
173,길01,명,도로,A,01,길,road
174,생활,명,生活,A,생활,생활,life
175,쓰다03,동,약을 ~,A,03,쓰다,write
176,지금03,명,只今,A,03,지금,now
177,뿐01,의,,B,01,뿐,only
178,사이01,명,,A,01,사이,between
179,방법,명,方法,B,방법,방법,method
180,새롭다,형,,C,롭다,새롭다,new
181,우리나라,명,,A,나라,우리나라,our country
182,내다02,보,참아 ~,A,02,내다,Pay
183,앉다,동,,A,앉다,앉다,Sit
184,처음,명,,A,처음,처음,first
185,손01,명,신체의 일부,A,01,손,hand
186,몇,관,,A,몇,몇,some
187,그때,명,,A,그때,그때,at that time
188,과정03,명,過程,C,03,과정,procedure
189,삶,명,,C,삶,삶,life
190,갖다01,동,가지다,B,01,갖다,have
191,찾다,동,,A,찾다,찾다,find
192,특히,부,特-,B,특히,특히,especially
193,시10,의,時,A,10,시10,Psalm 10
194,이상05,명,以上,B,05,이상,more
195,지금03,부,只今,A,03,지금,now
196,나가다,동,,A,가다,나가다,go out
197,이야기,명,,A,야기,이야기,story
198,교육,명,敎育,B,교육,교육,education
199,사다,동,,A,사다,사다,buy
200,경제04,명,經濟,B,04,경제,economy
201,아직01,부,,A,01,아직,yet
202,잡다01,동,,A,01,잡다,Catch
203,같이,부,,A,같이,같이,together
204,선생님,명,先生-,A,생님,선생님,teacher
205,예술,명,藝術,B,예술,예술,art
206,서다01,동,,A,01,서다,stand
207,못04,부,,A,04,못,pond
208,역사04,명,歷史,A,04,역사,history
209,읽다,동,,A,읽다,읽다,read
210,이제01,부,,A,01,이제,now
211,결과02,명,結果,B,02,결과,result
212,내용02,명,內容,B,02,내용,detail
213,물론01,부,勿論,A,01,물론,of course
214,동안01,명,시간의 길이,A,01,동안,during
215,책01,명,冊,A,01,책,book
216,일어나다,동,,A,나다,일어나다,wake up
217,당신02,대,當身,B,02,당신,you
218,시장04,명,市場,A,04,시장,market
219,넣다,동,,A,넣다,넣다,Insert
220,중요하다02,형,重要-,A,02,중요하다,It is important
221,무슨,관,,A,무슨,무슨,what
222,느끼다02,동,추위를 ~,B,02,느끼다,feel
223,어렵다,형,,A,렵다,어렵다,difficult
224,힘01,명,,A,01,힘,strength
225,너무01,부,,A,01,너무,too
226,나라01,명,,A,01,나라,country
227,부르다01,동,이름을 ~,A,01,부르다,call
228,의미02,명,意味,B,02,의미,meaning
229,자리01,명,~가 없다,A,01,자리,seat
230,밝히다,동,,B,히다,밝히다,clarify
231,죽다01,동,굶어 ~,A,01,죽다,die
232,이미01,부,,B,01,이미,already
233,쪽05,의,방향,A,05,쪽,side
234,정치03,명,政治,B,03,정치,politics
235,국민,명,國民,B,국민,국민,nation
236,생명,명,生命,C,생명,생명,life
237,얘기,명,이야기,A,얘기,얘기,talk
238,학생,명,學生,A,학생,학생,student
239,연구03,명,硏究,B,03,연구,research
240,엄마,명,,A,엄마,엄마,mom
241,이름,명,,A,이름,이름,name
242,하나,명,,A,하나,하나,one
243,내리다01,동,눈이 ~,A,01,내리다,get off
244,사건01,명,事件,C,01,사건,Event
245,및,부,,B,및,및,and
246,쉽다,형,,A,쉽다,쉽다,easy
247,짓다01,동,,B,01,짓다,build
248,또한,부,,B,또한,또한,also
249,이유04,명,理由,B,04,이유,reason
250,또는,부,,B,또는,또는,or
251,필요하다,형,必要-,A,하다,필요하다,need
252,글,명,,B,글,글,writing
253,생기다,동,,A,기다,생기다,to happen
254,사용하다03,동,使用-,A,03,사용하다,use
255,남편01,명,男便,A,01,남편,husband
256,들어오다,동,,A,오다,들어오다,come in
257,밖,명,,A,밖,밖,outside
258,세상01,명,世上,B,01,세상,world
259,작다01,형,,A,01,작다,small
260,타다02,동,버스에 ~,A,02,타다,ride
261,대학01,명,大學,A,01,대학,university
262,작품01,명,作品,C,01,작품,Work
263,상황02,명,狀況,C,02,상황,situation
264,가운데,명,,A,운데,가운데,middle
265,보내다,동,,A,내다,보내다,let go
266,두다01,동,,B,01,두다,put
267,즉01,부,卽,B,01,즉,in other words
268,따라서,부,,C,라서,따라서,thus
269,상태01,명,狀態,C,01,상태,situation
270,이후02,명,以後,B,02,이후,after
271,당시02,명,當時,C,02,당시,at that time
272,문학01,명,文學,B,01,문학,literature
273,더욱,부,,C,더욱,더욱,More
274,아주01,부,,A,01,아주,very
275,지방05,명,地方,B,05,지방,province
276,밤01,명,어두운 때,A,01,밤,night
277,높다,형,,A,높다,높다,high
278,최근,명,最近,B,최근,최근,recent
279,채09,의,옷을 입은 ~로,C,09,채,stick
280,현실02,명,現實,C,02,현실,reality
281,환경02,명,環境,B,02,환경,environment
282,컴퓨터,명,computer,A,퓨터,컴퓨터,computer
283,먼저,부,,A,먼저,먼저,first
284,다니다,동,,A,니다,다니다,go
285,얼마나,부,,A,마나,얼마나,how much
286,자체02,명,自體,B,02,자체,itself
287,열다02,동,문을 ~,A,02,열다,open
288,머리01,명,,A,01,머리,head
289,묻다03,동,길을 ~,A,03,묻다,ask
290,남다01,동,,B,01,남다,left
291,부분01,명,部分,B,01,부분,part time job
292,기업01,명,企業,C,01,기업,Enterprise
293,거기01,대,,A,01,거기,there
294,변화,명,變化,B,변화,변화,change
295,아들,명,,A,아들,아들,son
296,뜻,명,,B,뜻,뜻,meaning
297,아02,감,,A,02,아,ah
298,기다리다,동,,A,리다,기다리다,wait
299,떨어지다,동,,B,지다,떨어지다,get off
300,선거04,명,選擧,C,04,선거,election
301,관하다02,동,關-,B,02,관하다,govern
302,분08,의,10시 20~,A,08,분,minute
303,그냥,부,,B,그냥,그냥,just
304,나누다,동,,B,누다,나누다,divide
305,이용하다01,동,利用-,B,01,이용하다,use
306,거의01,부,,B,01,거의,almost
307,곧01,부,,A,01,곧,soon
308,중심01,명,中心,B,01,중심,center
309,활동02,명,活動,B,02,활동,activity
310,오늘,명,,A,오늘,오늘,today
311,서로01,부,,A,01,서로,each other
312,관심01,명,關心,B,01,관심,interest
313,역시01,부,亦是,B,01,역시,also
314,이거01,대,,A,01,이거,this
315,애02,명,아이,B,02,애,baby
316,광고02,명,廣告,B,02,광고,advertisement
317,나다01,보,,B,01,나다,grow
318,방07,명,房,A,07,방,room
319,정신12,명,精神,B,12,정신12,spirit 12
320,이르다01,동,도착하다,B,01,이르다,early
321,땅01,명,,B,01,땅,earth
322,이루다01,동,,B,01,이루다,accomplished
323,아침,명,,A,아침,아침,morning
324,웃다,동,,A,웃다,웃다,laugh
325,현상04,명,現象,C,04,현상,phenomenon
326,두다01,보,,B,01,두다,put
327,떠나다,동,,A,나다,떠나다,leave
328,기술01,명,技術,B,01,기술,technology
329,전체01,명,全體,B,01,전체,entire
330,그래01,감,,A,01,그래,okay
331,얻다01,동,,B,01,얻다,get
332,아름답다,형,,A,답다,아름답다,beautiful
333,끝01,명,,A,01,끝,end
334,민족,명,民族,B,민족,민족,people
335,간10,의,間. 서울과 부산 ~,B,10,간10,Liver 10
336,조사30,명,調査,B,30,조사30,Investigation 30
337,듯01,의,,C,01,듯,Seems like
338,입,명,,A,입,입,mouth
339,뭐,감,,A,뭐,뭐,what
340,그대로,부,,B,대로,그대로,as it is
341,영화01,명,映畵,A,01,영화,movie
342,필요,명,必要,A,필요,필요,necessary
343,줄04,의,방법,B,04,줄,line
344,하늘01,명,,A,01,하늘,sky
345,년대,의,年代,B,년대,년대,decade
346,과학,명,科學,B,과학,과학,science
347,듯하다,보,,C,하다,듯하다,look like
348,자연01,명,自然,B,01,자연,nature
349,정말01,부,正-,A,01,정말,really
350,구조08,명,構造,C,08,구조,structure
352,결국,명,結局,B,결국,결국,at last
353,밥01,명,~을 먹다,A,01,밥,rice
354,입다01,동,옷을 ~,A,01,입다,put on
355,오히려,부,,C,히려,오히려,rather
356,프로그램,명,program,B,그램,프로그램,program
357,네03,감,,A,03,네,yes
359,이루어지다,동,,B,지다,이루어지다,come true
360,남01,명,,C,01,남,other
361,하루01,명,,B,01,하루,day
362,그림01,명,,A,01,그림,painting
363,적03,의,,B,03,적,enemy
364,터02,의,,B,02,터,place
365,마시다,동,,A,시다,마시다,drink
366,치다02,동,얼굴을 ~,A,02,치다,hit
367,혼자01,명,,A,01,혼자,alone
368,나가다,보,,A,가다,나가다,go out
370,이제01,명,,A,01,이제,now
371,교수06,명,敎授,A,06,교수,professor
372,술01,명,~을 먹다,A,01,술,alcohol
373,사랑01,명,,A,01,사랑,love
374,의식03,명,意識,C,03,의식,Consciousness
375,전화07,명,電話,A,07,전화,phone call
376,끝나다,동,,A,나다,끝나다,end
377,돌아오다,동,,A,오다,돌아오다,Come back
378,맞다01,동,답이 ~,B,01,맞다,right
379,아빠,명,,A,아빠,아빠,dad
380,걸리다01,동,'걸다'의 피동사,B,01,걸리다,hang
381,지키다01,동,,B,01,지키다,protect
382,한번,명,-番,A,한번,한번,once
383,커피,명,coffee,A,커피,커피,coffee
384,가슴01,명,,A,01,가슴,chest
386,길다02,형,밤이 ~,A,02,길다,long
387,바라보다,동,,B,보다,바라보다,Look at
388,알아보다,동,,C,보다,알아보다,Inquire
389,회사04,명,會社,A,04,회사,company
390,맛01,명,,A,01,맛,taste
391,대부분,명,大部分,B,부분,대부분,mostly
392,산업,명,産業,C,산업,산업,industry
393,매우01,부,,A,01,매우,very
394,오르다,동,,A,르다,오르다,climb
395,음식,명,飮食,A,음식,음식,food
396,표정03,명,表情,B,03,표정,expression
397,꼭03,부,반드시,A,03,꼭,please
398,일부02,명,一部,B,02,일부,part
399,요즘,명,,A,요즘,요즘,recently
400,계획01,명,計劃,A,01,계획,plan
401,느낌,명,,B,느낌,느낌,feeling
402,얼마,명,,A,얼마,얼마,how much
403,고개01,명,~를 돌리다,B,01,고개,head
404,성격02,명,性格,B,02,성격,personality
405,계속04,부,繼續,A,04,계속,continue
406,세기03,명,世紀,B,03,세기,century
407,세우다01,동,,B,01,세우다,set up
408,아내01,명,,A,01,아내,wife
409,가족01,명,家族,A,01,가족,family
411,현재02,부,現在,B,02,현재,today
413,세01,관,~ 권,A,01,세,count
415,놓다01,동,,A,01,놓다,put
416,발전01,명,發展,B,01,발전,Development
417,차06,명,車,A,06,차,car
418,놀다01,동,,A,01,놀다,play
419,향하다,동,向-,B,하다,향하다,lean towards
420,관련,명,關聯,B,관련,관련,related
421,형태,명,形態,C,형태,형태,form
422,각01,관,各,B,01,각,each
423,도시03,명,都市,A,03,도시,city
424,작업01,명,作業,C,01,작업,work
425,분위기,명,雰圍氣,B,위기,분위기,atmosphere
426,그러하다,형,,B,하다,그러하다,It is true
427,자기04,명,自己,B,04,자기,self
429,나이01,명,,A,01,나이,age
430,우선02,부,于先,B,02,우선,first of all
431,믿다,동,,B,믿다,믿다,trust
432,바꾸다,동,,A,꾸다,바꾸다,change
433,낳다01,동,,B,01,낳다,give birth
434,바03,의,,C,03,바,bar
435,정보06,명,情報,B,06,정보,information
436,열리다02,동,문이 ~,B,02,열리다,open
438,좋아하다,동,,A,하다,좋아하다,like
439,그리다02,동,그림을 ~,A,02,그리다,draw
440,만큼,의,,B,만큼,만큼,as much as
441,배우다01,동,,A,01,배우다,learn
442,시13,명,詩,C,13,시13,Psalm 13
443,역할,명,役割,B,역할,역할,role
444,옆,명,,A,옆,옆,side
445,행동,명,行動,B,행동,행동,action
446,어02,감,,A,02,어,uh
447,국내02,명,國內,B,02,국내,domestic
448,비하다,동,比-,C,하다,비하다,compare
449,기관11,명,機關,C,11,기관11,Institution 11
450,입장04,명,立場,C,04,입장,Entrance
451,만하다,보,,C,하다,만하다,be worth
452,예08,명,例,B,08,예,yes
453,아래01,명,,A,01,아래,under
454,방식01,명,方式,C,01,방식,method
455,영향04,명,影響,C,04,영향,effect
457,그럼01,부,'그러면'의 준말,A,01,그럼,then
458,나서다,동,,B,서다,나서다,launch
459,흐르다01,동,,B,01,흐르다,flow
460,저04,관,멀리 있는 대상,A,04,저,I
461,깊다,형,,B,깊다,깊다,deep
462,배02,명,~를 띄우다,A,02,배,ship
463,내09,의,內,C,09,내,my
464,모양02,명,模樣,B,02,모양,shape
465,산01,명,山,A,01,산,mountain
466,새06,관,,A,06,새,bird
467,하지만,부,,A,지만,하지만,but
468,조건02,명,條件,B,02,조건,condition
469,문05,명,門,A,05,문,door
470,꽃01,명,,A,01,꽃,flower
471,단계03,명,段階,C,03,단계,step
472,올리다01,동,,C,01,올리다,raise
473,그동안,명,,A,동안,그동안,Meantime
474,교사09,명,敎師,C,09,교사,teacher
475,갑자기,부,,A,자기,갑자기,suddenly
476,넘다01,동,,B,01,넘다,exceed
477,지니다,동,,C,니다,지니다,carry
478,바람01,명,~이 불다,A,01,바람,wind
479,잘하다,동,,A,하다,잘하다,Do well
480,마을01,명,,B,01,마을,Town
481,어리다03,형,나이가 적다,B,03,어리다,young
482,대표,명,代表,B,대표,대표,representative
483,가능성,명,可能性,B,능성,가능성,Possibility
484,방향01,명,方向,B,01,방향,direction
485,대회02,명,大會,B,02,대회,Competition
486,목소리,명,,B,소리,목소리,voice
487,노래01,명,,A,01,노래,sing
488,바다,명,,A,바다,바다,ocean
489,힘들다,형,,A,들다,힘들다,it's tough
490,공부01,명,工夫,A,01,공부,study
491,움직이다,동,,B,이다,움직이다,Move
492,의원05,명,議員,C,05,의원,lawmaker
494,노력01,명,努力,B,01,노력,effort
495,못하다,동,,A,하다,못하다,Can not do it
496,전혀01,부,全-,B,01,전혀,at all
497,언니,명,,A,언니,언니,sister
498,단체02,명,團體,B,02,단체,organization
499,분01,의,한 ~,A,01,분,minute
500,알려지다,동,,B,지다,알려지다,known
501,가능하다,형,可能-,B,하다,가능하다,possible
502,능력02,명,能力,B,02,능력,ability
503,주장하다01,동,主張-,B,01,주장하다,assert
504,자식01,명,子息,B,01,자식,child
505,돌리다04,동,팽이를 ~,B,04,돌리다,turn
506,불01,명,,A,01,불,fire
507,주민,명,住民,C,주민,주민,citizen
508,모으다,동,,B,으다,모으다,collect
509,자료03,명,資料,B,03,자료,data
510,존재,명,存在,C,존재,존재,existence
512,학년,명,學年,A,학년,학년,grade
513,신문10,명,新聞,A,10,신문10,Newspaper 10
514,가지다,보,,A,지다,가지다,have
515,이해하다02,동,理解-,A,02,이해하다,understand
516,제품02,명,製品,B,02,제품,product
517,분야,명,分野,C,분야,분야,Field
518,선생01,명,先生,A,01,선생,teacher
519,돌아가다,동,,A,가다,돌아가다,return
520,사업04,명,事業,B,04,사업,business
521,행위,명,行爲,C,행위,행위,Act
522,수준,명,水準,C,수준,수준,level
523,지난해,명,,B,난해,지난해,last year
524,표현,명,表現,B,표현,표현,expression
525,기분01,명,氣分,A,01,기분,mood
527,대06,의,代,C,06,대,big
528,젊다,형,,B,젊다,젊다,young
529,동시02,명,同時,B,02,동시,The same time
530,옷01,명,,A,01,옷,clothes
531,기능03,명,機能,C,03,기능,function
532,순간03,명,瞬間,B,03,순간,Moment
533,전쟁,명,戰爭,B,전쟁,전쟁,War
534,전08,관,前,A,08,전,jeon
535,꿈01,명,,A,01,꿈,dream
536,할머니,명,,A,머니,할머니,grandma
537,회의04,명,會議,A,04,회의,meeting
538,방송01,명,放送,B,01,방송,broadcast
539,이야기하다,동,,A,하다,이야기하다,talk
540,나무01,명,,A,01,나무,tree
541,자다01,동,,A,01,자다,sleep
543,연극,명,演劇,C,연극,연극,theater
544,오늘,부,,A,오늘,오늘,today
545,마찬가지,명,,B,가지,마찬가지,same here
546,걷다02,동,느릿느릿 ~,A,02,걷다,walk
547,노동03,명,勞動,C,03,노동,labor
548,이때,명,,A,이때,이때,At this time
549,과거03,명,過去,B,03,과거,past
550,가치06,명,價値,C,06,가치,value
551,시간04,의,時間,A,04,시간,hour
552,집단,명,集團,C,집단,집단,group
553,현대01,명,現代,B,01,현대,hyundai
555,살펴보다,동,,B,보다,살펴보다,take a look
556,장관02,명,長官,C,02,장관,Minister
557,차이,명,差異,B,차이,차이,difference
558,풀다,동,,B,풀다,풀다,solve
559,시절01,명,時節,B,01,시절,days
560,물건,명,物件,A,물건,물건,thing
561,직접,부,直接,B,직접,직접,directly
562,개인02,명,個人,B,02,개인,individual
563,근데01,부,그런데,B,01,근데,however
564,발01,명,신체의 일부,A,01,발,foot
565,작가01,명,作家,B,01,작가,author
566,효과01,명,效果,B,01,효과,effect
567,불교,명,佛敎,B,불교,불교,buddhism
568,끌다,동,,B,끌다,끌다,drag
569,대로01,의,,C,01,대로,Road
572,빨리,부,,A,빨리,빨리,hurry
573,시작되다01,동,始作-,A,01,시작되다,begin
575,둘01,수,,A,01,둘,two
576,말다03,동,그만두다,A,03,말다,roll
577,설명하다,동,說明-,A,하다,설명하다,explain
578,우주02,명,宇宙,C,02,우주,universe
579,시기05,명,時機,C,05,시기,period
580,마치03,부,,B,03,마치,like
581,살04,의,한 ~,A,04,살,fat
582,생산,명,生産,C,생산,생산,production
583,바라다01,동,,B,01,바라다,hope
584,강하다02,형,强-,B,02,강하다,strong
585,경험,명,經驗,B,경험,경험,experience
586,음악01,명,音樂,A,01,음악,music
587,최고02,명,最高,B,02,최고,best
588,나타내다,동,,B,내다,나타내다,Express
589,아프다,형,,A,프다,아프다,sick
590,적다02,형,경험이 ~,A,02,적다,little
592,비01,명,~가 내리다,A,01,비,rain
593,고향02,명,故鄕,A,02,고향,hometown
594,놀라다,동,,A,라다,놀라다,surprised
595,다양하다01,형,多樣-,B,01,다양하다,Varies
596,울다01,동,울음을 ~,A,01,울다,cry
597,농민,명,農民,C,농민,농민,farmers
598,드러나다,동,,C,나다,드러나다,emerge
599,은행02,명,銀行,A,02,은행,bank
600,지내다01,동,,A,01,지내다,stay
601,결혼,명,結婚,A,결혼,결혼,marriage
602,동생01,명,,A,01,동생,Brother
603,법01,명,法,B,01,법,law
604,소설03,명,小說,B,03,소설,novel
605,예06,감,,A,06,예,yes
606,오후02,명,午後,A,02,오후,afternoon
607,질서03,명,秩序,B,03,질서,law
609,담다01,동,넣다,B,01,담다,contain
610,모이다01,동,,B,01,모이다,gather
611,시민,명,市民,B,시민,시민,citizen
612,회장07,명,會長,B,07,회장,Chairman
613,빠르다,형,,A,르다,빠르다,fast
614,스스로,부,,B,스로,스스로,self
615,아기01,명,,A,01,아기,baby
616,아저씨,명,,A,저씨,아저씨,mister
617,옛날,명,,A,옛날,옛날,A long ago
618,이날,명,,B,이날,이날,On this day
619,제대로,부,,B,대로,제대로,properly
620,달05,의,,A,05,달,moon
621,던지다,동,,B,지다,던지다,throw
622,참01,부,참으로,A,01,참,really
623,공간05,명,空間,B,05,공간,space
624,이곳,대,,A,이곳,이곳,this place
625,딸01,명,,A,01,딸,daughter
626,마지막,명,,A,지막,마지막,last
627,벌이다,동,,B,이다,벌이다,punish
628,병원02,명,病院,A,02,병원,hospital
630,자세02,명,姿勢,C,02,자세,posture
631,강조하다,동,强調-,B,하다,강조하다,Emphasize
632,경찰04,명,警察,A,04,경찰,police
633,맡다01,동,담임을 ~,B,01,맡다,take on
634,저녁,명,,A,저녁,저녁,dinner
635,한편,부,-便,B,한편,한편,Meanwhile
636,그러면,부,,A,러면,그러면,then
637,기자05,명,記者,B,05,기자,reporter
638,넓다,형,,A,넓다,넓다,wide
639,시험03,명,試驗,A,03,시험,test
640,잠01,명,,A,01,잠,sleep
641,주로01,부,主-,B,01,주로,mostly
642,훨씬,부,,B,훨씬,훨씬,more
643,면05,명,面. 양쪽 ~,C,05,면,noodle
645,통일02,명,統一,B,02,통일,unity
646,들어서다,동,,B,서다,들어서다,enter
647,건강03,명,健康,A,03,건강,health
648,가깝다,형,,A,깝다,가깝다,close
649,건물03,명,建物,A,03,건물,building
650,시설03,명,施設,B,03,시설,facility
651,외국02,명,外國,A,02,외국,foreign country
652,밑01,명,,A,01,밑,bottom
653,어른01,명,,A,01,어른,Adult
654,주변04,명,周邊,B,04,주변,around
655,대신03,명,代身,B,03,대신,instead
656,원인02,명,原因,C,02,원인,cause
657,팔다,동,,A,팔다,팔다,sell
658,차례01,명,次例,B,01,차례,order
659,군05,명,軍,B,05,군,army
660,열심히,부,熱心-,A,심히,열심히,try hard
661,일하다,동,,A,하다,일하다,work
662,재산,명,財産,B,재산,재산,property
663,조금01,명,,A,01,조금,little
664,팀01,명,team,A,01,팀,team
665,부모01,명,父母,A,01,부모,parents
666,약간,부,若干,B,약간,약간,a little
667,언어01,명,言語,C,01,언어,language
668,요구하다,동,要求-,B,하다,요구하다,request
669,올라가다,동,,A,가다,올라가다,Go up
670,첫,관,,B,첫,첫,first
671,감독02,명,監督,C,02,감독,director
672,그날,명,,A,그날,그날,that day
673,사실04,부,事實,B,04,사실,actually
674,자주01,부,,A,01,자주,often
675,당하다01,동,當-,C,01,당하다,encounter
676,삼다02,동,친구로 ~,C,02,삼다,make
677,약03,관,約,B,03,약,approximately
